,date_str,date_time,format,re
59,09/04/2024,2024-09-04,PARSER,PARSER
60,22/04/2024,2024-04-22,PARSER,PARSER
61,10/06/2024,2024-10-06,PARSER,PARSER
62,17/06/2024,2024-06-17,PARSER,PARSER
63,Octobre 2024,PARSER,PARSER,PARSER
64,mois d'avril 2024,PARSER,PARSER,PARSER
65,17/10/2024,2024-10-17,PARSER,PARSER
66,21/10/2024,2024-10-21,PARSER,PARSER
67,17/10/2024,2024-10-17,PARSER,PARSER
68,21/10/2024,2024-10-21,PARSER,PARSER
69,21/10/2024,2024-10-21,PARSER,PARSER
70,21/10/2024,2024-10-21,PARSER,PARSER
71,17/02/2022,2022-02-17,PARSER,PARSER
72,8/11/2023,2023-08-11,PARSER,PARSER
73,27/11/2023,2023-11-27,PARSER,PARSER
74,17/09/2024,2024-09-17,PARSER,PARSER
75,17/10/2024,2024-10-17,PARSER,PARSER
76,08/11/2023,2023-08-11,PARSER,PARSER
77,17/10/2024,2024-10-17,PARSER,PARSER
78,21/10/2024,2024-10-21,PARSER,PARSER
79,21/10/2024,2024-10-21,PARSER,PARSER
80,21/10/2024,2024-10-21,PARSER,PARSER
81,avril 2024,PARSER,PARSER,PARSER
82,22/10/2024,2024-10-22,PARSER,PARSER
83,15/10/2024,2024-10-15,PARSER,PARSER
84,14/10/2024,2024-10-14,PARSER,PARSER
85,17/10/2024,2024-10-17,PARSER,PARSER
86,17/10/2024,2024-10-17,PARSER,PARSER
87,21/10/2024,2024-10-21,PARSER,PARSER
88,21/10/2024,2024-10-21,PARSER,PARSER
89,21/10/2024,2024-10-21,PARSER,PARSER
90,31.10,2024-10-31,PARSER,PARSER
91,17/10/2024,2024-10-17,PARSER,PARSER
92,17/10/2024,2024-10-17,PARSER,PARSER
93,21/10/2024,2024-10-21,PARSER,PARSER
94,21/10/2024,2024-10-21,PARSER,PARSER
95,21/10/2024,2024-10-21,PARSER,PARSER
96,mai 2024,PARSER,PARSER,PARSER
97,mai 2024,PARSER,PARSER,PARSER
98,octobre 2024,PARSER,PARSER,PARSER
